2000-01-04
ticker: HBAN Return: 0.94, gain: -9, entry date: 2000-01-03, duration: 1
ticker: NBL Return: 0.94, gain: -8, entry date: 2000-01-03, duration: 1
ticker: DD Return: 0.98, gain: -3, entry date: 2000-01-03, duration: 1
ticker: ITW Return: 1.05, gain: 6, entry date: 2000-01-03, duration: 1
ticker: NEE Return: 0.97, gain: -4, entry date: 2000-01-03, duration: 1
ticker: PAYX Return: 0.95, gain: -6, entry date: 2000-01-03, duration: 1
ticker: RF Return: 0.93, gain: -8, entry date: 2000-01-03, duration: 1
ticker: TAP Return: 0.96, gain: -4, entry date: 2000-01-03, duration: 1
ticker: MAS Return: 0.97, gain: -4, entry date: 2000-01-03, duration: 1
ticker: MKC Return: 0.93, gain: -9, entry date: 2000-01-03, duration: 1
ticker: WFC Return: 0.92, gain: -9, entry date: 2000-01-03, duration: 1

2000-01-05
ticker: NKE Return: 0.93, gain: -7, entry date: 2000-01-03, duration: 2
ticker: FISV Return: 0.93, gain: -8, entry date: 2000-01-03, duration: 2
ticker: HES Return: 0.94, gain: -7, entry date: 2000-01-03, duration: 2
ticker: L Return: 0.97, gain: -3, entry date: 2000-01-03, duration: 2
ticker: SYMC Return: 0.9, gain: -12, entry date: 2000-01-03, duration: 2
ticker: LEG Return: 0.92, gain: -10, entry date: 2000-01-03, duration: 2
ticker: MCO Return: 0.95, gain: -7, entry date: 2000-01-03, duration: 2
ticker: KEY Return: 0.97, gain: -4, entry date: 2000-01-03, duration: 2
ticker: TGT Return: 0.95, gain: -7, entry date: 2000-01-03, duration: 2
ticker: MRK Return: 0.95, gain: -7, entry date: 2000-01-03, duration: 2
ticker: EOG Return: 0.89, gain: -16, entry date: 2000-01-03, duration: 2
ticker: IRM Return: 0.87, gain: -15, entry date: 2000-01-03, duration: 2
ticker: ETN Return: 0.97, gain: -35, entry date: 2000-01-04, duration: 1

2000-01-06
ticker: MU Return: 0.94, gain: -5, entry date: 2000-01-03, duration: 3
ticker: TXN Return: 0.97, gain: -3, entry date: 2000-01-03, duration: 3
ticker: NEM Return: 0.92, gain: -12, entry date: 2000-01-03, duration: 3
ticker: JBL Return: 0.86, gain: -10, entry date: 2000-01-03, duration: 3
ticker: LM Return: 0.87, gain: -19, entry date: 2000-01-03, duration: 3
ticker: GE Return: 0.97, gain: -33, entry date: 2000-01-04, duration: 2
ticker: URBN Return: 0.73, gain: -38, entry date: 2000-01-03, duration: 3
ticker: MCHP Return: 0.91, gain: -12, entry date: 2000-01-03, duration: 3

2000-01-07
ticker: HST Return: 0.98, gain: -3, entry date: 2000-01-03, duration: 4
ticker: WHR Return: 0.95, gain: -7, entry date: 2000-01-03, duration: 4
ticker: FHN Return: 0.94, gain: -9, entry date: 2000-01-03, duration: 4
ticker: TRV Return: 1.01, gain: 1, entry date: 2000-01-03, duration: 4
ticker: KIM Return: 1.03, gain: 4, entry date: 2000-01-03, duration: 4
ticker: JPM Return: 0.97, gain: -2, entry date: 2000-01-03, duration: 4
