total_value,asset_value,funds,return,win_rate,risk_tolerance,trades,positions,date
10002,4818,5184,1.0,0.75,0.5,0,3,2022-02-04
10038,6656,3382,1.0,0.6667,0.5,0,6,2022-02-07
9999,7159,2840,1.0,0.625,0.5,0,8,2022-02-08
10126,7524,2602,1.0,0.6,0.5,0,9,2022-02-09
10038,7643,2395,1.0,0.5833,0.5,0,10,2022-02-10
10113,7866,2247,1.0,0.5714,0.5,0,11,2022-02-11
9948,8054,1894,1.0,0.5625,0.5,0,13,2022-02-14
9975,8317,1659,1.0,0.5556,0.5,0,15,2022-02-15
9970,8451,1519,1.0,0.55,0.5,0,16,2022-02-16
9929,8567,1362,1.0,0.5455,0.5,0,18,2022-02-17
9801,8232,1569,0.9445,0.5,0.4994,1,19,2022-02-18
9790,8417,1372,1.0,0.5,0.4989,1,21,2022-02-22
9740,6999,2741,0.9565,0.4643,0.4979,4,21,2022-02-23
9519,7210,2309,1.0,0.426,0.4969,4,24,2022-02-24
9753,7738,2015,1.0,0.4207,0.4959,4,26,2022-02-25
9818,8172,1646,1.0,0.4151,0.4949,4,29,2022-02-28
9925,8462,1463,1.0,0.409,0.4939,4,31,2022-03-01
9919,8548,1371,1.0,0.4025,0.4929,4,32,2022-03-02
10035,8664,1371,1.0,0.3955,0.4919,4,32,2022-03-03
9949,8578,1371,1.0,0.3881,0.4909,4,32,2022-03-04
10004,8359,1645,0.8655,0.3524,0.4891,6,30,2022-03-07
9942,8297,1645,1.0,0.3418,0.4873,6,30,2022-03-08
9901,8256,1645,1.0,0.3305,0.486,6,30,2022-03-09
9814,8032,1782,0.9353,0.2948,0.484,7,29,2022-03-10
9849,8067,1782,1.0,0.3159,0.482,7,29,2022-03-11
9684,7902,1782,1.0,0.3027,0.4799,7,29,2022-03-14
9528,7746,1782,1.0,0.3243,0.4779,7,29,2022-03-15
9689,7907,1782,1.0,0.3143,0.4759,7,29,2022-03-16
9746,8019,1727,1.0,0.3064,0.4739,7,30,2022-03-17
9916,8189,1727,1.0,0.2982,0.4719,7,30,2022-03-18
10073,8417,1656,1.0,0.2899,0.4712,7,31,2022-03-21
