total_value,asset_value,funds,risk,return,win_rate,trades,positions,date
10002,4951,5051,0.5,1,0.75,0,3,2001-02-01
10010,6817,3192,0.5,1,0.6667,0,6,2001-02-02
9930,7782,2148,0.5,1,0.625,0,9,2001-02-05
9954,8439,1515,0.5,1,0.6,0,12,2001-02-06
9915,8846,1069,0.5,1,0.5833,0,15,2001-02-07
9980,8552,1428,0.4982,0.946,0.5714,2,16,2001-02-08
9934,8753,1181,0.4955,0.9756,0.5,3,18,2001-02-09
9833,6955,2877,0.4912,0.9516,0.4444,8,16,2001-02-12
9957,5819,4139,0.4898,1.0299,0.5,11,16,2001-02-13
9971,6175,3796,0.489,0.9941,0.4848,14,16,2001-02-14
10044,6419,3625,0.4904,1.0189,0.5278,17,16,2001-02-15
10000,6746,3253,0.492,1.0346,0.5641,19,17,2001-02-16
9994,7336,2658,0.4959,1.0666,0.5952,20,19,2001-02-20
9895,7982,1913,0.4992,1,0.5663,20,22,2001-02-21
9768,7891,1877,0.501,0.9894,0.5306,22,23,2001-02-22
9782,6289,3492,0.501,1.0088,0.5306,26,22,2001-02-23
9770,6691,3080,0.5,0.9734,0.4949,29,22,2001-02-26
9863,6180,3683,0.4997,1.0068,0.5163,34,20,2001-02-27
9892,6013,3880,0.4999,1.0256,0.5378,39,18,2001-02-28
9827,6287,3540,0.5008,0.9947,0.5259,42,18,2001-03-01
9851,6206,3646,0.5011,0.9889,0.5544,47,16,2001-03-02
9953,6260,3693,0.5006,1.0017,0.5901,51,15,2001-03-05
9960,7043,2916,0.5003,1.0017,0.5901,52,17,2001-03-06
9930,7534,2397,0.497,0.8977,0.5663,53,19,2001-03-07
9983,6998,2984,0.4941,1.0151,0.5663,57,18,2001-03-08
10042,7545,2498,0.4947,1.1072,0.5663,58,20,2001-03-09
9940,7583,2357,0.4972,0.9522,0.4949,60,21,2001-03-12
9863,7666,2197,0.4978,0.9603,0.4881,62,22,2001-03-13
9705,7722,1983,0.4958,1.027,0.5595,63,24,2001-03-14
9694,7498,2197,0.4947,0.9787,0.5476,66,24,2001-03-15
9592,7238,2355,0.4915,0.9019,0.5476,69,24,2001-03-16
9565,6714,2851,0.4855,0.9426,0.5024,75,21,2001-03-19
9671,5868,3802,0.4804,1.0065,0.4571,81,18,2001-03-20
9597,4679,4918,0.4776,0.969,0.4333,89,13,2001-03-21
9531,4499,5032,0.4765,0.9918,0.4226,93,12,2001-03-22
9527,4397,5130,0.4736,0.9544,0.3869,97,11,2001-03-23
9504,4998,4506,0.4676,0.8769,0.3155,98,13,2001-03-26
9455,5324,4131,0.4604,0.96,0.3155,99,15,2001-03-27
9467,5476,3991,0.4562,1.0413,0.3155,100,17,2001-03-28
9277,5276,4000,0.4564,1.005,0.2798,102,18,2001-03-29
9348,5205,4143,0.4584,1.0143,0.3155,104,19,2001-03-30
