Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ITB,607631,300,56.37,400,56.36,56.37,596579,11052
IEFA,501352,800,65.79,27100,65.78,65.79,497439,3913
ARKG,346829,1500,74.41,3,74.32,74.40,341296,5533
RSX,346014,7825,23.00,10550,22.99,23.00,341652,4362
REM,238480,100,29.89,210,29.88,29.88,214551,23929
USMV,232016,1700,66.46,200,66.45,66.45,230616,1400
EZU,221986,10821,42.25,2500,42.24,42.24,221664,322
GOVT,182164,130900,27.67,148803,27.66,27.66,181894,270
IGV,162289,133,321.60,100,321.51,321.50,161563,726
EFV,161974,1600,45.53,2727,45.52,45.53,160764,1210
FLQL,155165,2300,36.77,500,36.75,36.79,146965,8200
INDA,154526,5101,36.66,2743,36.65,36.66,139489,15037
MTUM,138478,350,151.04,350,151.01,151.02,138028,450
PAVE,130231,655,20.01,4381,20.00,20.01,130030,201
USHY,130170,5600,40.43,7729,40.42,40.42,121133,9037
QUAL,110835,300,111.36,121,111.34,111.36,110248,587
MOAT,87050,200,59.65,700,59.63,59.65,85752,1298
VLUE,83122,200,82.81,398,82.79,82.82,82595,527
EFAV,81386,1300,71.34,200,71.33,71.34,80768,618
IGE,75600,2091,22.10,4000,22.09,22.15,75600,0
CBOE,73383,137,88.21,30,88.08,88.16,73203,180
JPST,72203,85155,50.79,46019,50.78,50.78,72203,0
BBEU,67984,6800,25.00,16300,24.99,25.02,64601,3383
ICSH,64994,20074,50.53,10200,50.52,50.53,64994,0
NOBL,62750,700,78.78,1600,78.75,78.77,62450,300
ECH,52989,1510,27.70,349,27.66,27.70,52284,705
ARKQ,51704,5100,64.93,122,64.89,64.91,51700,4
BBJP,42197,600,26.57,3800,26.56,26.57,41996,201
IDV,39504,4954,27.98,4000,27.97,27.99,39403,101
EGIS,35595,3200,24.92,3200,24.90,25.08,35595,0
EEMV,33013,1400,59.43,120,59.40,59.42,31771,1242
LYFE,31696,3200,24.85,2400,24.83,25.03,31696,0
ACWV,29982,1010,95.60,400,95.55,95.61,27216,2766
SLVP,29550,300,15.47,1,15.44,15.45,29430,120
EFG,29461,100,95.23,100,95.14,95.21,29461,0
HYD,28403,809,60.30,173,60.28,60.29,27985,418
VNM,27733,700,15.52,100,15.48,15.49,27583,150
ESGV,27703,1600,66.03,1320,66.00,66.00,27400,303
VSGX,27672,1147,56.02,156,56.00,56.07,27383,289
HEEM,26512,6000,29.40,500,29.34,29.44,26512,0
TAIL,23499,8000,20.89,8400,20.83,20.89,23499,0
